ASN,Organization-Name,Rank,ROV-Percentage
27750,Cooperación Latino Americana de Redes Avanzadas,464,0
12129,"123.Net, Inc.",465,0.18
3212,Telemach UG d.o.o.,466,0
262476,PROVEDOR BRCENTRAL.NET LTDA,467,0
61745,NBS SERVICOS DE COMUNICACOES LTDA,468,0
134371,CIRCLE NETWORK,469,0
12310,iNES GROUP SRL,472,0
7795,"LUMOS Networks, Inc.",475,0
56534,Comfortel Ltd.,476,0
58299,Openfactory GmbH,477,0
199995,Omega Telecom LLC,480,1
53237,TELECOMUNICACOES BRASILEIRAS S. A. - TELEBRAS,481,0
262462,Aranet Comunicacao Ltda,483,0
262740,VELOO NET LTDA,484,0
12735,TurkNet Iletisim Hizmetleri A.S.,485,0
33652,"Comcast Cable Communications, LLC",486,1
4787,PT. Cyberindo Aditama,489,1
1759,Telia Finland Oyj,491,1
8767,M-net Telekommunikations GmbH,492,1
19151,"BroadbandONE, LLC",493,0
43668,Bignet LLC,494,1
8151,Uninet S.A. de C.V.,495,0
10099,China Unicom (Hong Kong) Operations Limited,496,0
21859,Zenlayer Inc,497,0.18
18747,IFX Corporation,498,0
25255,Hutchison Drei Austria GmbH,499,0
21497,"PrJSC ""VF UKRAINE""",500,0
18229,Pioneer Elabs Ltd.,501,0
9119,SOFTNET d.o.o.,503,0.36
5056,Aureon Network Services,506,0
202766,Servicios Digitales Codinet S.L.,507,0
12025,Iron Mountain Data Center,509,1
25899,LS Networks,511,0.42
4515,PCCW IMS Limited,513,1
15305,"Syringa Networks, LLC",514,0.1
11796,"Airstream Communications, LLC",515,0
16814,NSS S.A.,516,0
21127,"JSC ""Zap-SibTransTelekom""",517,0
17439,NetMagic Solutions Pvt Ltd,518,0
4750,CS Loxinfo Public Company Limited,519,0.61
55824,National Knowledge Network,520,0
17451,BIZNET ISP,521,1
262847,Hoinaski & Sklasky Ltda,522,0
52872,VOANET Telecomunicações Ltda.,523,0
58689,ICC Communication,524,0
13876,"FiberLight, LLC",525,0.97
45177,Devoli LTD,527,1
45903,CMC Telecom Infrastructure Company,529,0
8473,Bahnhof AB,530,0
35805,"JSC ""Silknet""",532,0
269096,NORTH TELECOMUNICACOES EIRELI,534,0
4780,Digital United Inc.,535,1
19108,Suddenlink Communications,536,0
19114,Otecel S.A.,538,1
7725,"Comcast Cable Communications, LLC",539,1
35819,Bayanat Al-Oula For Network Services Limited Co.,549,0
6849,"PJSC ""Ukrtelecom""",550,0.21
35104,"JSC ""Kaztranscom""",551,0
30517,"Great Lakes Comnet, Inc.",552,0
47232,ISP Alliance a.s.,553,1
58656,bdHUB,554,0
33650,"Comcast Cable Communications, LLC",556,0
16086,DNA Oyj,557,0
264668,NEDETEL S.A.,558,0
3327,CITIC Telecom CPC Netherlands B.V.,559,0
2588,"SIA ""BITE Latvija""",561,0
135607,Infinivan Incorporated,562,0
9957,KINX,563,0
23498,Beanfield Technologies Inc.,564,0
10834,Telefonica de Argentina,566,1
58224,Iran Telecommunication Company PJS,567,0.09
3302,IRIDEOS S.P.A.,569,0
41313,"""NOVATEL"" EOOD",570,0.91
38731,Vietel - CHT Compamy Ltd,571,1
35753,Integrated Telecom Co. Ltd,573,0
6181,Cincinnati Bell Telephone Company LLC,574,0
11096,FloridaNet,575,0
6057,Administracion Nacional de Telecomunicaciones,576,0
19905,"NeuStar, Inc.",577,1
15895,"""Kyivstar"" PJSC",578,0
19009,OneCleveland,579,0
12779,IT.Gate S.p.A.,580,1
26801,"Zito Media, L.P.",581,0
8308,NAUKOWA I AKADEMICKA SIEC KOMPUTEROWA INSTYTUT BADAWCZY,582,1
44600,Gigatrans LTD,583,1
719,Elisa Oyj,585,1
9500,Vodafone New Zealand Limited,586,0
9507,NextHop Pty Ltd,587,0
4812,China Telecom,588,0
9829,Bharat Sanchar Nigam Ltd,589,0
14877,KINBER,590,0
35346,SC ITNS.NET SRL,592,1
8452,TE-AS,593,0.33
15802,Emirates Integrated Telecommunications Company PJSC,594,0
37148,Globacom Limited,595,1
8437,Hutchison Drei Austria GmbH,596,0
11272,C Spire Fiber,597,0
55352,Microscan Computers Private Limited,601,0
17408,"AboveNet Communications Taiwan Co., Ltd",602,0
600,OARnet,603,0.48
25472,WIND HELLAS TELECOMMUNICATIONS SA,605,0
61135,COMNET BILGI ILETISIM TEKNOLOJILERI TICARET A.S.,606,0
4621,Office of Info.Tech. Admin. for Educational Development,607,0
15994,A1 Hrvatska d.o.o.,608,0
62943,Bluebird Network,609,0
35699,Adamo Telecom Iberia S.A.,610,0
6789,CRELCOM LLC,611,0
35000,Prometey LLC,612,0
33490,"Comcast Cable Communications, LLC",614,0
8781,Ooredoo Q.S.C.,615,0
33659,"Comcast Cable Communications, LLC",616,0
9848,Sejong Telecom,617,0
26677,ORION,618,0
3249,Telia Eesti AS,620,1
12182,Internap Holding LLC,621,0
25369,Hydra Communications Ltd,624,1
17621,China Unicom,625,0
200612,Gulf Bridge International Inc.,626,0
9145,EWE TEL GmbH,628,0
37613,ETG Integrated Services Ltd. (Dolphin Telecom),629,0
265078,JHS TELECOMUNICAÇOES LTDA,630,0
28761,CrimeaCom South LLC,631,0
4181,TDS TELECOM,633,0.09
8449,"""ElCat"" Ltd.",634,0
137409,GSL Networks Pty LTD,635,0
28158,Ampernet Telecomunicações Ltda,637,0.09
33662,"Comcast Cable Communications, LLC",638,1
17639,ComClark Network & Technology Corp,639,0
24940,Hetzner Online GmbH,641,0
19754,"The Fusion Network, LLC",643,0
264144,ASAP GLOBAL TELECOM,645,0
6661,POST Luxembourg,649,1
9931,CAT Telecom Public Company Limited,650,0
9902,NeocomISP Limited,651,0
262195,Transamerican Telecomunication S.A.,652,0
17665,AS Number of Indusind Media and communication Ltd.,653,0
46450,"Pilot Fiber, Inc.",654,0
49800,GNC-Alfa CJSC,655,1
10481,Telecom Argentina S.A.,656,0
133296,Web Werks India Pvt. Ltd.,657,0
17072,TOTAL PLAY TELECOMUNICACIONES SA DE CV,658,0
11232,Midcontinent Communications,659,0.13
12301,Invitech ICT Services Kft.,661,1
13767,"DataBank Holdings, Ltd.",662,0
43350,NForce Entertainment B.V.,663,0
25408,"JSC ""ER-Telecom Holding""",664,0
62206,Pitline Ltd,665,0
266931,RE Servicos de Comunicacao Multimidia,666,0
5580,GTT Netherlands B.V.,667,1
52579,Noroestecom Telecomunicacoes Ltda,668,0
2200,Renater,669,0
8560,1&1 IONOS SE,670,0
13977,"FAIRPOINT COMMUNICATIONS, INC.",671,0
34123,Netorn LLC,672,0
21413,Envia Tel GmbH,673,0.09
60171,AFR-IX TELECOM S.L.,674,0.48
61678,NETWAY INFORMATICA LTDA,676,0
56048,China Mobile,679,0
10886,University of Maryland,680,0
262907,AVATO TECNOLOGIA,682,0
28580,CILNET Comunicacao e Informatica LTDA.,683,0
10010,,684,0
12271,Charter Communications Inc,685,0.55
44217,IQ Networks,687,0
6697,Republican Unitary Telecommunication Enterprise Beltelecom,688,0
7459,"Grande Communications Networks, LLC",689,1
12179,Internap Holding LLC,690,1
14265,TPx Communications,691,0
25956,"Alpheus Data Services, L.L.C.",693,0.94
52840,Ava Telecomunicações LTDA,694,0
12406,Business Network Ltd,695,0.06
34772,NEOTEL DOO export-import Skopje,696,0
9268,Over the Wire Pty Ltd,697,0
8985,"Joint-stock company ""Internet Exchange ""MSK-IX",698,0
8492,"""OBIT"" Ltd.",699,0
21488,Emplot Ltd.,700,0
16010,Magticom Ltd.,703,0
20860,IOMART CLOUD SERVICES LIMITED,704,0
20207,Gigared S.A.,705,1
24323,Aamra Networks Limited,706,0
45305,"Lintas Data Prima, PT",707,0
17378,"TierPoint, LLC",710,0.24
36086,Telx,711,0
262760,76 TELECOMUNICAÇÃO LTDA,714,0
266167,CELERIX TECNOLOGIA DE TELECOMUNICACOES LTDA,715,0
45194,Syscon Infoway Pvt. Ltd.,717,0
9924,"Taiwan Fixed Network, Telco and Network Service Provider.",719,0
21508,"Comcast Cable Communications, LLC",720,1
3329,VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA,723,0
10913,Internap Holding LLC,724,0
26592,EQUINIX BRASIL,725,0
50304,Blix Solutions AS,726,0
33576,Digicel Jamaica,727,0
29632,Netassist Limited,728,0
25454,ORANGE MOLDOVA S.A.,729,0
28210,SUMICITY TELECOMUNICACOES S.A.,730,0
4725,,732,0.06
8100,QuadraNet Enterprises LLC,733,0.06
23686,Equinix Asia Pacific Pte Ltd,735,1
25229,Kyivski Telekomunikatsiyni Merezhi LLC,736,1
37179,Africa Independent Network Exchange (Pty) LTD (AfricaINX),737,0
8468,ENTANET International Limited,738,1
17222,Mundivox LTDA,740,0
5769,Videotron Telecom Ltee,741,0
11260,EastLink,742,0
196925,AZERTELECOM,743,0
22645,North Texas GigaPOP,746,0
15704,XTRA TELECOM S.A.,747,0
12042,"Consolidated Communications, Inc.",748,0
60330,Belarusian Cloud Technologies JLLC,749,0
8470,JSC Macomnet,752,0
6739,"VODAFONE ONO, S.A.",755,0
29695,Altibox AS,757,0
17054,"CONTINENTAL BROADBAND PENNSYLVANIA, INC.",758,0
9255,"Singapore Telecom, ConnectPlus",759,0
263558,RD TELECOM LTDA -ME,760,0
38758,PT. HIPERNET INDODATA,762,0.27
45558,Myanma Post & Telecommunication,763,0
1136,KPN B.V.,764,0
22909,"Comcast Cable Communications, LLC",765,0
8968,BT Italia S.p.A.,767,0
37084,Simbanet (T) Limited,770,0.97
13110,INEA S.A.,771,0
54825,"Packet Host, Inc.",772,0.97
12831,"Technical University of Gdansk, Academic Computer Center TASK",773,1
